,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
1,1904-01-01 00:24:48.642976,1486.3940074,35001,15984,31.968
8,1904-01-01 00:25:48.554976,1546.3067711,35002,45939,91.878
10,1904-01-01 00:25:56.394976,1554.1465599,35003,49858,99.716
15,1904-01-01 00:26:54.054976,1611.8058409,35004,78687,157.374
17,1904-01-01 00:27:02.512000,1620.2631209,35005,82915,165.83
26,1904-01-01 00:28:38.876000,1716.627747,35101,131095,262.19
32,1904-01-01 00:29:37.958976,1775.7104613,35201,160636,321.272
37,1904-01-01 00:30:24.177984,1821.9293528,35301,183744,367.488
78,1904-01-01 00:38:15.228992,2292.9820549,35102,419261,838.522
84,1904-01-01 00:39:18.642976,2356.3960433,35202,450967,901.934
88,1904-01-01 00:39:56.574976,2394.3288274,35302,469933,939.866
117,1904-01-01 00:45:29.716992,2727.4736786,35103,636498,1272.996
124,1904-01-01 00:46:41.920992,2799.6784149,35203,672599,1345.198
126,1904-01-01 00:46:59.810976,2817.5659663,35303,681543,1363.086
130,1904-01-01 00:47:39.920000,2857.6744161,35006,701596,1403.192
