,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
0,1904-01-01 00:37:00.556992000,2217.0856756,1,8382,16.764
1,1904-01-01 00:37:09.858976000,2226.3908662,2,13035,26.07
2,1904-01-01 00:37:21.738976000,2238.270964,3,18975,37.95
3,1904-01-01 00:37:34.417984000,2250.950519,4,25314,50.628
4,1904-01-01 00:37:34.688000000,2251.219616,35001,25449,50.898
5,1904-01-01 00:37:43.510976000,2260.0435679,5,29861,59.722
6,1904-01-01 00:37:58.844992000,2275.3776739,6,37528,75.056
7,1904-01-01 00:38:12.152992000,2288.6851277,7,44181,88.362
8,1904-01-01 00:38:20.685984000,2297.2179165,8,48447,96.894
9,1904-01-01 00:38:29.220992000,2305.7529274,35002,52715,105.43
10,1904-01-01 00:38:31.309984000,2307.8421118,9,53759,107.518
11,1904-01-01 00:38:35.662976000,2312.1952933,35003,55936,111.872
12,1904-01-01 00:38:43.820000000,2320.3528012,10,60014,120.028
13,1904-01-01 00:38:55.421984000,2331.9544531,11,65815,131.63
14,1904-01-01 00:39:10.405984000,2346.9379694,12,73306,146.612
15,1904-01-01 00:39:24.872992000,2361.4055263,13,80540,161.08
16,1904-01-01 00:39:35.170976000,2371.7033165,35004,85688,171.376
17,1904-01-01 00:39:37.836000000,2374.3684342,14,87021,174.042
18,1904-01-01 00:39:39.961984000,2376.494532,35005,88084,176.168
19,1904-01-01 00:39:47.938976000,2384.4746204,15,92074,184.148
20,1904-01-01 00:40:02.388992000,2398.9219487,16,99297,198.594
21,1904-01-01 00:40:14.636000000,2411.1688179,17,105421,210.842
22,1904-01-01 00:40:22.714976000,2419.247786,18,109460,218.92
23,1904-01-01 00:40:31.474976000,2428.0078622,19,113840,227.68
24,1904-01-01 00:40:46.808000000,2443.3406587,20,121505,243.01
25,1904-01-01 00:41:00.366976000,2456.899207,21,128285,256.57
26,1904-01-01 00:41:14.892992000,2471.4257519,22,135548,271.096
27,1904-01-01 00:41:24.252000000,2480.7848857,23,140227,280.454
28,1904-01-01 00:41:33.693984000,2490.2267884,24,144948,289.896
29,1904-01-01 00:41:46.337984000,2502.8705285,25,151269,302.538
30,1904-01-01 00:41:47.834976000,2504.3679777,35101,152018,304.036
31,1904-01-01 00:41:56.724992000,2513.2580723,26,-1,
32,1904-01-01 00:42:12.162976000,2528.6958941,27,-1,
33,1904-01-01 00:42:24.372992000,2540.9063802,28,-1,
34,1904-01-01 00:42:34.762976000,2551.2955453,29,-1,
35,1904-01-01 00:42:42.564992000,2559.0980108,35201,-1,
36,1904-01-01 00:42:46.713984000,2563.2465567,30,-1,
37,1904-01-01 00:43:01.684992000,2578.2175019,31,-1,
38,1904-01-01 00:43:12.037984000,2588.5705287,32,-1,
39,1904-01-01 00:43:22.528992000,2599.0616805,33,-1,
40,1904-01-01 00:43:24.469984000,2601.0033644,35301,-1,
41,1904-01-01 00:43:34.074976000,2610.6082241,34,-1,
42,1904-01-01 00:43:46.261984000,2622.794911,35,-1,
43,1904-01-01 00:43:58.052000000,2634.5854289,36,-1,
44,1904-01-01 00:44:11.969984000,2648.5027789,37,-1,
45,1904-01-01 00:44:24.752000000,2661.284954,38,-1,
46,1904-01-01 00:44:35.245984000,2671.7787694,39,-1,
47,1904-01-01 00:44:44.369984000,2680.9031386,40,-1,
48,1904-01-01 00:44:55.060000000,2691.5928502,41,-1,
49,1904-01-01 00:45:06.481984000,2703.0148992,42,-1,
50,1904-01-01 00:45:21.952992000,2718.4860185,43,-1,
51,1904-01-01 00:45:30.209984000,2726.7432377,44,-1,
52,1904-01-01 00:45:39.892000000,2736.4252992,45,-1,
53,1904-01-01 00:45:49.514976000,2746.0482319,46,-1,
54,1904-01-01 00:46:02.470976000,2759.0038238,47,-1,
55,1904-01-01 00:46:14.668992000,2771.2024234,48,-1,
56,1904-01-01 00:46:27.270976000,2783.8047637,49,-1,
57,1904-01-01 00:46:35.650976000,2792.1845295,50,-1,
58,1904-01-01 00:46:50.956000000,2807.4896351,51,-1,
59,1904-01-01 00:47:03.216992000,2819.7503505,52,-1,
60,1904-01-01 00:47:12.432000000,2828.9654688,53,-1,
61,1904-01-01 00:47:21.252992000,2837.786496,54,-1,
62,1904-01-01 00:47:33.530976000,2850.0643544,55,-1,
63,1904-01-01 00:47:45.916000000,2862.4497101,56,-1,
64,1904-01-01 00:47:56.518976000,2873.0524869,57,-1,
65,1904-01-01 00:48:06.980992000,2883.5146509,58,-1,
66,1904-01-01 00:48:18.932992000,2895.4661161,59,-1,
67,1904-01-01 00:48:27.104000000,2903.6378782,60,-1,
68,1904-01-01 00:48:36.746976000,2913.2805455,61,-1,
69,1904-01-01 00:48:49.497984000,2926.0313949,62,-1,
70,1904-01-01 00:49:03.705984000,2940.2393427,63,-1,
71,1904-01-01 00:49:14.981984000,2951.5160811,64,-1,
72,1904-01-01 00:49:28.980000000,2965.5139168,65,-1,
73,1904-01-01 00:49:39.496000000,2976.0377212,66,-1,
74,1904-01-01 00:49:53.208000000,2989.7422085,67,-1,
75,1904-01-01 00:50:08.558976000,3005.0925169,68,-1,
76,1904-01-01 00:50:18.494976000,3015.0287691,69,-1,
77,1904-01-01 00:50:29.165984000,3025.7003536,70,-1,
78,1904-01-01 00:50:38.306976000,3034.8410552,71,-1,
79,1904-01-01 00:50:49.074976000,3045.609138,72,-1,
80,1904-01-01 00:50:57.260000000,3053.7941874,73,-1,
81,1904-01-01 00:51:05.572000000,3062.1063189,74,-1,
82,1904-01-01 00:51:19.477984000,3076.0122526,75,-1,
83,1904-01-01 00:51:32.354976000,3088.8906179,76,-1,
84,1904-01-01 00:51:42.258975999,3098.7933106,77,-1,
85,1904-01-01 00:51:55.017984000,3111.5522918,78,-1,
86,1904-01-01 00:52:03.665984000,3120.200161,79,-1,
87,1904-01-01 00:52:14.974976000,3131.5175543,80,-1,
88,1904-01-01 00:52:21.634976000,3138.1693366,35102,-1,
89,1904-01-01 00:52:28.126976000,3144.6612909,81,-1,
90,1904-01-01 00:52:40.525984000,3157.0604256,82,-1,
91,1904-01-01 00:52:55.040992000,3171.5747785,83,-1,
92,1904-01-01 00:53:03.105984000,3179.6399809,84,-1,
93,1904-01-01 00:53:05.276000000,3181.8101291,35202,-1,
94,1904-01-01 00:53:19.010976000,3195.5451312,85,-1,
95,1904-01-01 00:53:30.112992000,3206.6472966,86,-1,
96,1904-01-01 00:53:40.141984000,3216.6763943,87,-1,
97,1904-01-01 00:53:50.517984000,3227.0516748,35302,-1,
98,1904-01-01 00:53:52.712992000,3229.2471296,88,-1,
99,1904-01-01 00:54:04.918976000,3241.4530185,89,-1,
100,1904-01-01 00:54:20.656992000,3257.1913876,90,-1,
101,1904-01-01 00:54:29.165984000,3265.7001288,91,-1,
102,1904-01-01 00:54:42.058976000,3278.5937483,92,-1,
103,1904-01-01 00:54:52.132992000,3288.6675543,93,-1,
104,1904-01-01 00:55:02.690976000,3299.2257976,94,-1,
105,1904-01-01 00:55:16.698976000,3313.233811,95,-1,
106,1904-01-01 00:55:27.874976000,3324.40907,96,-1,
107,1904-01-01 00:55:41.060000000,3337.5940223,97,-1,
108,1904-01-01 00:55:54.165984000,3350.7006813,98,-1,
109,1904-01-01 00:56:06.665984000,3363.1998494,99,-1,
110,1904-01-01 00:56:18.484000000,3375.0184626,100,-1,
111,1904-01-01 00:56:32.477984000,3389.0126084,101,-1,
112,1904-01-01 00:56:43.916000000,3400.4508023,102,-1,
113,1904-01-01 00:56:57.340000000,3413.8746731,103,-1,
114,1904-01-01 00:57:09.177984000,3425.7123571,104,-1,
115,1904-01-01 00:57:23.842976000,3440.387882,105,-1,
116,1904-01-01 00:57:34.776992000,3451.3136458,106,-1,
117,1904-01-01 00:57:48.392992000,3464.927615,107,-1,
118,1904-01-01 00:58:00.438976000,3476.9733662,108,-1,
119,1904-01-01 00:58:13.965984000,3490.5004947,109,-1,
120,1904-01-01 00:58:27.249984000,3503.7862922,110,-1,
121,1904-01-01 00:58:42.321984000,3518.8563726,111,-1,
122,1904-01-01 00:58:53.378976000,3529.913739,112,-1,
123,1904-01-01 00:59:07.526976000,3544.0612314,113,-1,
124,1904-01-01 00:59:20.682976000,3557.2170546,114,-1,
125,1904-01-01 00:59:32.200992000,3568.735453,115,-1,
126,1904-01-01 00:59:32.292992000,3568.8270467,35103,-1,
127,1904-01-01 00:59:42.978976000,3579.5136974,116,-1,
128,1904-01-01 00:59:57.322976000,3593.8578866,117,-1,
129,1904-01-01 01:00:07.912992000,3604.4476187,118,-1,
130,1904-01-01 01:00:21.790976000,3618.3258511,119,-1,
131,1904-01-01 01:00:23.228992000,3619.7636006,35203,-1,
132,1904-01-01 01:00:33.448000000,3629.9826957,120,-1,
133,1904-01-01 01:00:37.936000000,3634.4708295,35303,-1,
134,1904-01-01 01:00:44.612000000,3641.1463316,121,-1,
135,1904-01-01 01:00:53.948000000,3650.4821788,122,-1,
136,1904-01-01 01:01:06.320000000,3662.857285,123,-1,
137,1904-01-01 01:01:11.245984000,3667.7810753,35006,-1,
138,1904-01-01 01:01:17.846976000,3674.3817984,124,-1,
