,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
4,1904-01-01 00:21:07.576992,217.5867107,35001,27720,55.44
11,1904-01-01 00:22:15.144992,285.1557644,35002,61503,123.006
12,1904-01-01 00:22:19.705984,289.7166631,35003,63783,127.566
17,1904-01-01 00:23:22.732000,352.7422774,35004,95295,190.59
19,1904-01-01 00:23:30.452992,360.4634391,35005,99156,198.312
24,1904-01-01 00:24:17.312000,407.3227014,35101,122584,245.168
31,1904-01-01 00:25:23.996992,474.0076832,35201,155926,311.852
34,1904-01-01 00:25:52.752000,502.7635981,35301,170303,340.606
72,1904-01-01 00:32:38.880000,908.9004507,35102,373364,746.728
78,1904-01-01 00:33:41.272992,971.2853399,35202,404555,809.11
83,1904-01-01 00:34:25.470976,1015.4841899,35302,426653,853.306
119,1904-01-01 00:40:58.252000,1408.2657111,35006,623036,1246.072
120,1904-01-01 00:41:02.172992,1412.187276,35103,624997,1249.994
127,1904-01-01 00:42:17.021984,1487.039018,35203,662420,1324.84
131,1904-01-01 00:42:58.193984,1528.208014,35303,683004,1366.008
149,1904-01-01 00:46:12.657984,1722.6761372,35007,780235,1560.47
