,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
3,1904-01-01 00:13:00.312992,11863.154364,35001,24104,48.208
9,1904-01-01 00:14:09.198976,11932.0408582,35002,58546,117.092
11,1904-01-01 00:14:15.452992,11938.294468,35003,61672,123.344
18,1904-01-01 00:15:16.674976,11999.5165618,35004,92282,184.564
19,1904-01-01 00:15:21.118976,12003.9607415,35005,94504,189.008
21,1904-01-01 00:15:37.074976,12019.9161904,35201,102481,204.962
23,1904-01-01 00:15:40.881984,12023.7234011,35101,104385,208.77
29,1904-01-01 00:16:48.180000,12091.0219086,35202,138033,276.066
31,1904-01-01 00:17:03.952992,12106.794695,35301,145919,291.838
74,1904-01-01 00:25:25.257984,12608.1003544,35102,396562,793.124
80,1904-01-01 00:26:26.450976,12669.2968417,35203,427159,854.318
83,1904-01-01 00:26:51.266976,12694.113875,35302,439567,879.134
115,1904-01-01 00:32:49.321984,13052.1657419,35103,618586,1237.172
121,1904-01-01 00:33:53.064000,13115.9077393,35204,650456,1300.912
125,1904-01-01 00:34:22.550976,13145.3974482,35303,665200,1330.4
140,1904-01-01 00:37:15.684000,13318.528092,35006,751762,1503.524
