,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
2,1904-01-01 00:18:57.788000,11025.1209069,35001,19538,39.076
9,1904-01-01 00:20:08.856000,11096.1892847,35002,55071,110.142
10,1904-01-01 00:20:13.524000,11100.8575224,35003,57405,114.81
15,1904-01-01 00:21:15.144000,11162.477771,35004,88214,176.428
18,1904-01-01 00:21:34.413984,11181.7477928,35005,97849,195.698
29,1904-01-01 00:23:42.914976,11310.249398,35101,162097,324.194
35,1904-01-01 00:24:42.232992,11369.5677044,35201,191755,383.51
39,1904-01-01 00:25:12.040000,11399.3744711,35301,206658,413.316
87,1904-01-01 00:34:00.260000,11927.5953038,35102,470757,941.514
94,1904-01-01 00:35:03.989984,11991.3249234,35202,502621,1005.242
98,1904-01-01 00:35:40.414976,12027.7499901,35302,520833,1041.666
130,1904-01-01 00:41:50.572000,12397.9077081,35103,705904,1411.808
136,1904-01-01 00:42:52.384992,12459.720568,35203,736810,1473.62
139,1904-01-01 00:43:11.178976,12478.5144436,35303,746206,1492.412
143,1904-01-01 00:43:37.628992,12504.9639097,35006,759430,1518.86
