Seconds,Bpm
1904-01-01 00:18:26.636992,75.0
1904-01-01 00:18:27.436992,75.0
1904-01-01 00:18:28.316992,68.18181818181819
1904-01-01 00:18:29.196992,68.18181818181819
1904-01-01 00:18:30.076992,68.18181818181819
1904-01-01 00:18:30.896992,73.17073170731707
1904-01-01 00:18:31.696992,75.0
1904-01-01 00:18:32.476992,76.92307692307692
1904-01-01 00:18:33.236992,78.94736842105263
1904-01-01 00:18:33.996992,78.94736842105263
1904-01-01 00:18:34.776992,76.92307692307692
1904-01-01 00:18:35.576992,75.0
1904-01-01 00:18:36.396992,73.17073170731707
1904-01-01 00:18:37.216992,73.17073170731707
1904-01-01 00:18:37.996992,76.92307692307692
1904-01-01 00:18:38.796992,75.0
1904-01-01 00:18:39.576992,76.92307692307692
1904-01-01 00:18:40.376992,75.0
1904-01-01 00:18:41.196992,73.17073170731707
1904-01-01 00:18:42.056992,69.76744186046511
1904-01-01 00:18:44.716992,68.18181818181819
1904-01-01 00:18:47.256992,75.0
1904-01-01 00:18:48.056992,75.0
1904-01-01 00:18:48.816992,78.94736842105263
1904-01-01 00:18:49.596992,76.92307692307692
1904-01-01 00:18:50.356992,78.94736842105263
1904-01-01 00:18:51.156992,75.0
1904-01-01 00:18:51.976992,73.17073170731707
1904-01-01 00:18:52.796992,73.17073170731707
1904-01-01 00:18:53.636992,71.42857142857143
1904-01-01 00:18:54.456992,73.17073170731707
1904-01-01 00:18:55.276992,73.17073170731707
1904-01-01 00:18:56.036992,78.94736842105263
1904-01-01 00:18:56.816992,76.92307692307692
1904-01-01 00:18:57.616992,75.0
1904-01-01 00:18:58.456992,71.42857142857143
1904-01-01 00:19:02.016992,69.76744186046511
1904-01-01 00:19:02.836992,73.17073170731707
1904-01-01 00:19:03.616992,76.92307692307692
1904-01-01 00:19:04.416992,75.0
1904-01-01 00:19:05.196992,76.92307692307692
1904-01-01 00:19:06.056992,69.76744186046511
1904-01-01 00:19:06.916992,69.76744186046511
1904-01-01 00:19:11.356992,69.76744186046511
1904-01-01 00:19:12.196992,71.42857142857143
1904-01-01 00:19:13.076992,68.18181818181819
1904-01-01 00:19:13.916992,71.42857142857143
1904-01-01 00:19:14.736992,73.17073170731707
