,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
2,1904-01-01 00:36:52.510976,44815.0384322,35001,37646,75.292
8,1904-01-01 00:37:55.422976,44877.9501004,35002,66119,132.238
10,1904-01-01 00:38:06.878976,44889.4067886,35003,71152,142.304
16,1904-01-01 00:39:03.928992,44946.4563445,35004,96052,192.104
19,1904-01-01 00:39:23.696000,44966.222717,35005,101640,203.28
22,1904-01-01 00:39:57.252000,44999.7797877,35101,117393,234.786
28,1904-01-01 00:41:00.468000,45062.9982138,35201,147711,295.422
33,1904-01-01 00:41:41.760992,45104.2885733,35301,166368,332.736
65,1904-01-01 00:47:56.162976,45478.6908702,35102,388003,776.006
71,1904-01-01 00:49:02.048992,45544.5763985,35202,425175,850.35
76,1904-01-01 00:49:44.886976,45587.4149321,35302,447452,894.904
93,1904-01-01 00:53:01.736992,45784.2647341,35103,566273,1132.546
99,1904-01-01 00:54:08.580000,45851.1079316,35203,603066,1206.132
103,1904-01-01 00:54:54.922976,45897.4514536,35303,628171,1256.342
120,1904-01-01 00:58:09.998976,46092.5312181,35006,733202,1466.404
