Seconds,Bpm
1904-01-01 00:20:34.841984,83.33333333333333
1904-01-01 00:20:35.581984,81.08108108108108
1904-01-01 00:20:36.361984,76.92307692307692
1904-01-01 00:20:37.161984,75.0
1904-01-01 00:20:37.941984,76.92307692307692
1904-01-01 00:20:38.721984,76.92307692307692
1904-01-01 00:20:39.481984,78.94736842105263
1904-01-01 00:20:40.241984,78.94736842105263
1904-01-01 00:20:41.001984,78.94736842105263
1904-01-01 00:20:41.701984,85.71428571428571
1904-01-01 00:20:42.401984,85.71428571428571
1904-01-01 00:20:43.101984,85.71428571428571
1904-01-01 00:20:43.781984,88.23529411764706
1904-01-01 00:20:44.561984,76.92307692307692
1904-01-01 00:20:45.421984,69.76744186046511
1904-01-01 00:20:46.301984,68.18181818181819
1904-01-01 00:20:47.141984,71.42857142857143
1904-01-01 00:20:47.981984,71.42857142857143
1904-01-01 00:20:48.801984,73.17073170731707
1904-01-01 00:20:49.601984,75.0
1904-01-01 00:20:50.361984,78.94736842105263
1904-01-01 00:20:51.101984,81.08108108108108
1904-01-01 00:20:51.821984,83.33333333333333
1904-01-01 00:20:52.541984,83.33333333333333
1904-01-01 00:20:53.301984,78.94736842105263
1904-01-01 00:20:54.101984,75.0
1904-01-01 00:20:54.921984,73.17073170731707
1904-01-01 00:20:55.681984,78.94736842105263
1904-01-01 00:20:56.401984,83.33333333333333
1904-01-01 00:20:57.141984,81.08108108108108
1904-01-01 00:20:57.841984,85.71428571428571
1904-01-01 00:20:58.521984,88.23529411764706
1904-01-01 00:20:59.181984,90.9090909090909
1904-01-01 00:20:59.861984,88.23529411764706
1904-01-01 00:21:00.521984,90.9090909090909
1904-01-01 00:21:01.181984,90.9090909090909
1904-01-01 00:21:01.801984,96.7741935483871
1904-01-01 00:21:02.441984,93.75
1904-01-01 00:21:03.081984,93.75
1904-01-01 00:21:03.721984,93.75
1904-01-01 00:21:04.361984,93.75
1904-01-01 00:21:05.001984,93.75
1904-01-01 00:21:05.661984,90.9090909090909
1904-01-01 00:21:06.301984,93.75
1904-01-01 00:21:08.861984,90.9090909090909
1904-01-01 00:21:11.561984,88.23529411764706
1904-01-01 00:21:14.421984,81.08108108108108
1904-01-01 00:21:15.161984,81.08108108108108
1904-01-01 00:21:15.841984,88.23529411764706
1904-01-01 00:21:16.501984,90.9090909090909
1904-01-01 00:21:17.141984,93.75
1904-01-01 00:21:17.821984,88.23529411764706
1904-01-01 00:21:18.521984,85.71428571428571
1904-01-01 00:21:19.201984,88.23529411764706
1904-01-01 00:21:19.841984,93.75
1904-01-01 00:21:20.481984,93.75
1904-01-01 00:21:21.081984,100.0
1904-01-01 00:21:21.701984,96.7741935483871
1904-01-01 00:21:22.361984,90.9090909090909
1904-01-01 00:21:22.981984,96.7741935483871
1904-01-01 00:21:23.641984,90.9090909090909
1904-01-01 00:21:24.301984,90.9090909090909
1904-01-01 00:21:25.141984,71.42857142857143
1904-01-01 00:21:26.021984,68.18181818181819
1904-01-01 00:21:26.981984,62.5
1904-01-01 00:21:27.961984,61.224489795918366
1904-01-01 00:21:28.881984,65.21739130434783
1904-01-01 00:21:29.821984,63.829787234042556
1904-01-01 00:21:30.701984,68.18181818181819
1904-01-01 00:21:31.561984,69.76744186046511
1904-01-01 00:21:32.401984,71.42857142857143
1904-01-01 00:21:33.241984,71.42857142857143
1904-01-01 00:21:34.021984,76.92307692307692
1904-01-01 00:21:34.801984,76.92307692307692
1904-01-01 00:21:35.541984,81.08108108108108
1904-01-01 00:21:36.241984,85.71428571428571
1904-01-01 00:21:36.961984,83.33333333333333
1904-01-01 00:21:37.721984,78.94736842105263
1904-01-01 00:21:38.461984,81.08108108108108
1904-01-01 00:21:39.181984,83.33333333333333
1904-01-01 00:21:39.921984,81.08108108108108
1904-01-01 00:21:40.681984,78.94736842105263
1904-01-01 00:21:41.441984,78.94736842105263
1904-01-01 00:21:42.181984,81.08108108108108
1904-01-01 00:21:42.941984,78.94736842105263
1904-01-01 00:21:43.741984,75.0
1904-01-01 00:21:44.501984,78.94736842105263
1904-01-01 00:21:45.221984,83.33333333333333
1904-01-01 00:21:45.941984,83.33333333333333
1904-01-01 00:21:46.641984,85.71428571428571
1904-01-01 00:21:47.401984,78.94736842105263
1904-01-01 00:21:48.161984,78.94736842105263
1904-01-01 00:21:48.961984,75.0
1904-01-01 00:21:49.741984,76.92307692307692
1904-01-01 00:21:50.561984,73.17073170731707
1904-01-01 00:21:51.321984,78.94736842105263
1904-01-01 00:21:52.061984,81.08108108108108
1904-01-01 00:21:52.781984,83.33333333333333
1904-01-01 00:21:53.541984,78.94736842105263
1904-01-01 00:21:54.301984,78.94736842105263
1904-01-01 00:21:55.081984,76.92307692307692
1904-01-01 00:21:55.821984,81.08108108108108
1904-01-01 00:21:56.601984,76.92307692307692
1904-01-01 00:21:57.381984,76.92307692307692
1904-01-01 00:21:58.181984,75.0
1904-01-01 00:21:59.001984,73.17073170731707
1904-01-01 00:21:59.801984,75.0
1904-01-01 00:22:00.641984,71.42857142857143
1904-01-01 00:22:01.501984,69.76744186046511
1904-01-01 00:22:02.401984,66.66666666666667
1904-01-01 00:22:03.321984,65.21739130434783
1904-01-01 00:22:04.221984,66.66666666666667
1904-01-01 00:22:05.101984,68.18181818181819
1904-01-01 00:22:05.941984,71.42857142857143
1904-01-01 00:22:06.741984,75.0
1904-01-01 00:22:07.521984,76.92307692307692
1904-01-01 00:22:08.261984,81.08108108108108
1904-01-01 00:22:09.021984,78.94736842105263
1904-01-01 00:22:09.781984,78.94736842105263
1904-01-01 00:22:10.581984,75.0
1904-01-01 00:22:11.401984,73.17073170731707
1904-01-01 00:22:12.221984,73.17073170731707
1904-01-01 00:22:13.041984,73.17073170731707
1904-01-01 00:22:13.821984,76.92307692307692
1904-01-01 00:22:14.601984,76.92307692307692
1904-01-01 00:22:15.381984,76.92307692307692
1904-01-01 00:22:16.161984,76.92307692307692
1904-01-01 00:22:16.941984,76.92307692307692
1904-01-01 00:22:17.701984,78.94736842105263
1904-01-01 00:22:18.461984,78.94736842105263
1904-01-01 00:22:19.201984,81.08108108108108
1904-01-01 00:22:19.941984,81.08108108108108
1904-01-01 00:22:20.641984,85.71428571428571
1904-01-01 00:22:21.341984,85.71428571428571
1904-01-01 00:22:22.061984,83.33333333333333
1904-01-01 00:22:22.821984,78.94736842105263
1904-01-01 00:22:23.661984,71.42857142857143
1904-01-01 00:22:24.501984,71.42857142857143
1904-01-01 00:22:25.361984,69.76744186046511
1904-01-01 00:22:26.241984,68.18181818181819
1904-01-01 00:22:27.141984,66.66666666666667
1904-01-01 00:22:28.001984,69.76744186046511
1904-01-01 00:22:28.841984,71.42857142857143
1904-01-01 00:22:29.641984,75.0
1904-01-01 00:22:30.461984,73.17073170731707
1904-01-01 00:22:31.261984,75.0
1904-01-01 00:22:32.081984,73.17073170731707
1904-01-01 00:22:32.901984,73.17073170731707
1904-01-01 00:22:33.701984,75.0
1904-01-01 00:22:34.441984,81.08108108108108
1904-01-01 00:22:35.161984,83.33333333333333
1904-01-01 00:22:35.901984,81.08108108108108
1904-01-01 00:22:36.681984,76.92307692307692
1904-01-01 00:22:37.481984,75.0
1904-01-01 00:22:38.281984,75.0
1904-01-01 00:22:41.361984,81.08108108108108
1904-01-01 00:22:42.821984,83.33333333333333
1904-01-01 00:22:43.501984,88.23529411764706
1904-01-01 00:22:44.181984,88.23529411764706
1904-01-01 00:22:44.821984,93.75
1904-01-01 00:22:45.501984,88.23529411764706
1904-01-01 00:22:46.181984,88.23529411764706
1904-01-01 00:22:46.841984,90.9090909090909
1904-01-01 00:22:47.541984,85.71428571428571
1904-01-01 00:22:48.261984,83.33333333333333
1904-01-01 00:22:49.041984,76.92307692307692
1904-01-01 00:22:49.821984,76.92307692307692
1904-01-01 00:22:50.641984,73.17073170731707
