,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
1,1904-01-01 00:43:43.749984,2619.7336074,35001,10991,21.982
8,1904-01-01 00:44:58.293984,2694.2773444,35002,48261,96.522
10,1904-01-01 00:45:09.808000,2705.7912646,35003,54017,108.034
16,1904-01-01 00:46:14.325984,2770.3099353,35004,86275,172.55
18,1904-01-01 00:46:21.093984,2777.077683,35005,89659,179.318
27,1904-01-01 00:48:17.570976,2893.5556492,35101,-1,
36,1904-01-01 00:49:40.964992,2976.9494039,35201,-1,
40,1904-01-01 00:50:23.521984,3019.5063993,35301,-1,
84,1904-01-01 00:59:03.678976,3539.6651393,35102,-1,
90,1904-01-01 01:00:07.945984,3603.9321307,35202,-1,
94,1904-01-01 01:00:47.534976,3643.5205074,35302,-1,
121,1904-01-01 01:06:09.356992,3965.343607,35103,-1,
126,1904-01-01 01:07:09.736000,4025.7226906,35203,-1,
133,1904-01-01 01:08:17.768992,4093.7557558,35006,-1,
